SEQNOS,CHRIS_CODE,CAS_NUMBER,UN_NUMBER,AMOUNT_OF_MATERIAL,UNIT_OF_MEASURE,NAME_OF_MATERIAL,IF_REACHED_WATER,AMOUNT_IN_WATER,UNIT_OF_MEASURE_REACH_WATER
993566,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993567,BDI,000000-00-0,,0,UNKNOWN AMOUNT,BUTADIENE,NO,,
993567,PPL,000000-00-0,,0,UNKNOWN AMOUNT,PROPYLENE,NO,,
993567,ETL,000000-00-0,,0,UNKNOWN AMOUNT,ETHYLENE,NO,,
993568,OHY,000000-00-0,,2,GALLON(S),HYDRAULIC OIL,YES,1,GALLON(S)
993569,OIL,000000-00-0,,236,GALLON(S),OIL: CRUDE,UNKNOWN,0,UNKNOWN AMOUNT
993570,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993571,STY,000100-42-5,,0,UNKNOWN AMOUNT,STYRENE,NO,,
993572,BNZ,000071-43-2,,0,UNKNOWN AMOUNT,BENZENE,YES,0,UNKNOWN AMOUNT
993573,OHY,000000-00-0,,1,GALLON(S),HYDRAULIC OIL,YES,1,QUART(S)
993574,NCC,000000-00-0,,10,POUND(S),CHLORINE GAS,NO,,
993575,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993576,GAS,000000-00-0,,1,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
993577,OTH,000000-00-0,,200,GALLON(S),MARINE GASOLINE,YES,0,UNKNOWN AMOUNT
993578,OHY,000000-00-0,,0.07174,GALLON(S),HYDRAULIC OIL,YES,0.07174,GALLON(S)
993579,OIL,000000-00-0,,0,UNKNOWN AMOUNT,OIL: CRUDE,YES,0,UNKNOWN AMOUNT
993581,NAC,007697-37-2,,0,UNKNOWN AMOUNT,NITRIC ACID,NO,,
993582,OMT,000000-00-0,,15,GALLON(S),"OIL, MISC: MOTOR",YES,0,UNKNOWN AMOUNT
993585,OLB,000000-00-0,,2,GALLON(S),"OIL, MISC: LUBRICATING",NO,,
993587,ODS,000000-00-0,,100,GALLON(S),OIL: DIESEL,NO,,
993588,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,UNKNOWN,0,UNKNOWN AMOUNT
993589,OMT,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",NO,,
993589,ODS,000000-00-0,,40,GALLON(S),OIL: DIESEL,NO,,
993590,ODS,000000-00-0,,200,GALLON(S),OIL: DIESEL,NO,,
993591,NCC,000000-00-0,,5,GALLON(S),SODA ASH,YES,5,GALLON(S)
993592,ODS,000000-00-0,,1,PINT(S),OIL: DIESEL,YES,1,PINT(S)
993594,OOD,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, FUEL: NO. 1-D",YES,20,GALLON(S)
993596,EGL,000107-21-1,,0,UNKNOWN AMOUNT,ETHYLENE GLYCOL,NO,,
993596,OMT,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",NO,,
993596,GAS,000000-00-0,,0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
993599,NCC,000000-00-0,,0,UNKNOWN AMOUNT,CLEANING SOLUTION,YES,0,UNKNOWN AMOUNT
993603,OTH,000000-00-0,,1,GALLON(S),CONDENSATE,YES,1,GALLON(S)
993604,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993607,NCC,000000-00-0,,0,UNKNOWN AMOUNT,"""VALCUM O3D OIL""",NO,,
993608,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993611,SFD,000000-00-0,,0,UNKNOWN AMOUNT,SULFUR DIOXIDE,NO,,
993614,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993615,ODS,000000-00-0,,100,GALLON(S),OIL: DIESEL,NO,,
993618,OOD,000000-00-0,,1025,GALLON(S),"OIL, FUEL: NO. 1-D",NO,,
993620,OHY,000000-00-0,,15,GALLON(S),HYDRAULIC OIL,YES,15,GALLON(S)
993621,AMA,007664-41-7,,0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
993623,AMA,007664-41-7,,50,POUND(S),"AMMONIA, ANHYDROUS",NO,,
993626,OTW,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, FUEL: NO. 2",NO,,
993627,OHY,000000-00-0,,0,UNKNOWN AMOUNT,HYDRAULIC OIL,NO,,
993632,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,NO,,
993634,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993635,OIL,000000-00-0,,10,BARREL(S),OIL: CRUDE,YES,10,BARREL(S)
993636,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993637,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993640,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993641,OHY,000000-00-0,,1,GALLON(S),HYDRAULIC OIL,UNKNOWN,0,UNKNOWN AMOUNT
993642,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993643,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993644,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993653,OTW,000000-00-0,,2.3,GALLON(S),"OIL, FUEL: NO. 2",NO,,
993654,OMN,000000-00-0,,5,GALLON(S),"OIL, MISC: MINERAL",NO,,
993655,OHY,000000-00-0,,1,GALLON(S),HYDRAULIC OIL,YES,2,CUP(S)
993657,OTW,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, FUEL: NO. 2",NO,,
993657,OON,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, FUEL: NO. 1 (KEROSENE)",NO,,
993658,OIL,000000-00-0,,2.68,GALLON(S),OIL: CRUDE,YES,2.68,GALLON(S)
993661,EOX,000075-21-8,,13,POUND(S),ETHYLENE OXIDE,NO,,
993662,ONG,000000-00-0,,0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
993664,SFD,000000-00-0,,542,POUND(S),SULFUR DIOXIDE,NO,,
993666,NCC,000000-00-0,,0,UNKNOWN AMOUNT,CONCRETE SLURRY,UNKNOWN,0,UNKNOWN AMOUNT
993667,ODS,000000-00-0,,50,GALLON(S),OIL: DIESEL,NO,,
993670,GAS,000000-00-0,,0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),YES,0,UNKNOWN AMOUNT
993671,ONG,000000-00-0,,0,UNKNOWN AMOUNT,NATURAL GAS,YES,0,UNKNOWN AMOUNT
993672,NCC,000000-00-0,,4200,POUND(S),NITROGEN OXIDE,NO,,
993673,OTF,000000-00-0,,0.5,GALLON(S),"OIL, MISC: TRANSFORMER",YES,1,PINT(S)
993674,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993676,OTH,000000-00-0,,10,BARREL(S),CONDENSATE,YES,2,BARREL(S)
993677,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,YES,0,UNKNOWN AMOUNT
